word1,word2,score,,,P1,P2,100-3,100-5,100-7,200-3,200-5,200-7,300-3,300-5,300-7,400-3,400-5,400-7,500-3,500-5,500-7,128-3,128-5,128-7,256-3,256-5,256-7,512-3,512-5,512-7
bad,terrible,7.78,,13,برا,خوفناک,0.4065251,0.36752057,0.38871923,0.3466863,0.31568342,0.3210937,0.28783342,0.27110934,0.24559224,0.2571545,0.23346215,0.21778339,0.22945951,0.19784914,0.20514984,0.33977365,0.35001045,0.3877519,0.31606,0.32035977,0.28887978,0.24827777,0.22801408,0.18476956
hard,simple,1.38,,14,سخت,سادہ,0.28024077,0.28065965,0.26707506,0.2703897,0.2793096,0.23792063,0.23949069,0.26962748,0.22094597,0.22856645,0.19813937,0.1884937,0.19725306,0.18468182,0.17629036,0.29387236,0.27470845,0.25554726,0.25526094,0.26184946,0.25265923,0.21294993,0.19885808,0.16892408
smart,dumb,0.55,,15,اسمارٹ,گونگا,-0.08312998,-0.1382963,-0.08910179,0.002729303,0.000435248,-0.06814559,0.005347487,0.003777229,0.012816126,-0.000462063,-0.029917536,-0.029053027,0.01643565,-0.050733335,-0.057387847,-0.01164633,-0.030383624,0.022719136,0.012516222,0.013683267,0.019023046,-0.018470548,-0.028060049,-0.0411931
insane,crazy,9.57,,16,پاگل,پاگل,1,0.99999994,1,0.99999994,1,1,1,0.99999994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99999994,1
happy,mad,0.95,,17,خوش,پاگل,0.3439659,0.28515515,0.26839188,0.3367771,0.2210004,0.21588956,0.27467823,0.16898154,0.18839185,0.28011838,0.17732252,0.19367675,0.24619046,0.1890585,0.15431567,0.3564486,0.2939156,0.22157106,0.2791229,0.19424006,0.20278251,0.21892165,0.17316572,0.1475672
large,huge,9.47,,18,بڑے,بھاری,0.31335202,0.35758358,0.38255212,0.2812908,0.28658912,0.3083576,0.25607607,0.2623771,0.27972385,0.24227275,0.23238112,0.22676124,0.24143548,0.23095101,0.25265393,0.30659437,0.32010898,0.35216013,0.24901451,0.2717514,0.2744069,0.2509886,0.23640911,0.22463094
hard,tough,8.05,,19,سخت,مشکل,0.44414252,0.45880455,0.5033816,0.3896151,0.38428006,0.37635988,0.35843176,0.35110408,0.33938587,0.35831255,0.3340775,0.30639225,0.33824396,0.32332718,0.30631384,0.43161425,0.44803447,0.47586876,0.37192175,0.36550218,0.3489741,0.3342913,0.30965906,0.30969682
sharp,dull,0.6,,21,تیز,خالی,0.09630414,0.13641265,0.10203857,0.064108364,0.03605223,-0.00405083,0.08933238,0.07655505,0.022410087,0.09162132,0.07247741,0.07558598,0.08374615,0.07217744,0.04749907,0.12254153,0.09312663,0.11986319,0.051276583,-0.016194714,0.037107132,0.10585451,0.072839946,0.05831079
dumb,foolish,6.67,,23,گونگا,بیوقوف,0.11318677,0.076054856,0.121087946,0.11754204,0.016341902,0.011366571,0.10093179,0.04271901,0.025700467,0.08090318,0.053293668,0.050046448,0.084670745,0.02282712,0.028509717,0.14443983,0.107500166,0.006467372,0.07506448,0.000726458,0.04232606,0.06249106,0.012043837,0.009041139
wonderful,terrific,8.63,,24,شاندار,خوفناک,0.32860056,0.3041512,0.28248298,0.3098404,0.27156594,0.249455,0.26642245,0.21198103,0.21966617,0.25143692,0.2110368,0.22082035,0.24865948,0.20647132,0.1980083,0.31607577,0.3160287,0.26620206,0.25989068,0.23417398,0.23538971,0.2441878,0.19321553,0.20339689
strange,odd,9.02,,25,عجیب,عجیب,0.99999994,1,1,1,1,1,1,1,1,1,1.0000001,1,1,1,1,0.99999994,1,1,1,1,1,1,0.99999994,1
happy,angry,1.28,,26,خوش,ناراض,0.5397463,0.529206,0.4829352,0.47827294,0.4494543,0.42643052,0.4927155,0.41364574,0.3739661,0.4840338,0.39685047,0.36265302,0.46179795,0.406853,0.3570953,0.52309567,0.490111,0.42954773,0.51612943,0.43849775,0.39306527,0.4549488,0.40361282,0.3603978
narrow,broad,1.18,,27,تنگ,براڈ,-0.10219944,-0.0542175,-0.08752523,-0.14655814,-0.09813909,-0.0960698,-0.12363199,-0.045894742,-0.020461788,-0.0984522,-0.053700153,-0.042310733,-0.027792536,-0.047670778,-0.042505734,-0.1687759,-0.069637746,-0.055990215,-0.12071381,-0.10252544,-0.031908773,-0.05586063,-0.0824897,-0.06471238
apparent,obvious,8.47,,30,واضح,واضح,1,1,1,0.99999994,1,1,0.99999994,1,1,1,1,0.99999994,1,0.99999994,1,1,1,1,1,0.99999994,1,1,1,1
inexpensive,cheap,8.72,,31,سستی,سستا,0.6275288,0.6449048,0.626105,0.55753684,0.5700974,0.5943432,0.534742,0.5335542,0.54709643,0.5038182,0.5154355,0.52426404,0.47790575,0.49863383,0.50409704,0.605788,0.6200607,0.6397362,0.54395115,0.5690299,0.5708373,0.4782258,0.49794352,0.49549764
weird,normal,0.72,,33,عجیب,عمومی,0.3203562,0.279129,0.32993513,0.22170134,0.19020863,0.14365828,0.20713605,0.19091539,0.114461556,0.20127586,0.19421542,0.1491381,0.16241072,0.14795578,0.15030456,0.2966264,0.2560524,0.25891906,0.20909622,0.1678147,0.13595393,0.18417536,0.14811659,0.119581565
weird,odd,9.2,,34,عجیب,عجیب,0.99999994,1,1,1,1,1,1,1,1,1,1.0000001,1,1,1,1,0.99999994,1,1,1,1,1,1,0.99999994,1
sad,funny,0.95,,36,اداس,عجیب,0.31360736,0.18352693,0.20840031,0.19924578,0.15556772,0.16190395,0.19581945,0.17181727,0.19195434,0.19802906,0.13226368,0.1447988,0.18133797,0.1412488,0.13003893,0.2513674,0.26231498,0.17251527,0.212145,0.22083364,0.096357405,0.19545786,0.10747102,0.115211055
guilty,ashamed,6.38,,38,مجرم,شرمندہ,0.23236024,0.1890667,0.12583739,0.2160754,0.18686566,0.18642281,0.19768064,0.17488876,0.12341715,0.16309696,0.15774494,0.13952841,0.17504123,0.13218223,0.11754609,0.25040704,0.18810141,0.15014103,0.20895642,0.18602468,0.17953515,0.17374584,0.14645785,0.10723369
beautiful,wonderful,6.5,,39,خوبصورت,شاندار,0.49377063,0.4863321,0.50100577,0.4837649,0.4631719,0.4585969,0.44428685,0.42599943,0.41301095,0.40159053,0.39977366,0.39101723,0.38501352,0.37574488,0.35694206,0.4979602,0.48086542,0.46481252,0.44440413,0.43925667,0.41858655,0.39301425,0.3655495,0.3495716
confident,sure,8.27,,40,یقین,یقینا,0.2393598,0.2425003,0.1993605,0.22235405,0.19961229,0.17646277,0.23062469,0.19443978,0.18882918,0.23283182,0.1973387,0.17649943,0.20166075,0.18662886,0.16357283,0.24887116,0.1989032,0.18326695,0.22173066,0.18439123,0.18241954,0.20172724,0.1824568,0.17252576
dumb,dense,7.27,,41,گونگا,گھنے,0.2878189,0.33020288,0.29048288,0.17702174,0.08595009,0.12658963,0.12614065,0.035585973,0.08589574,0.11735166,0.112672195,0.08517469,0.13257694,0.045629263,0.06319121,0.25414062,0.2627289,0.26986575,0.08217639,0.15558732,0.058829486,0.11165927,0.12548345,0.08059654
large,big,9.55,,42,بڑا,بڑا,1,1,1,1,1,1.0000001,0.99999994,0.99999994,1,1,0.99999994,1,1,1,1,1,1,1,1,1,1,1,1,1
nice,cruel,0.67,,43,اچھا,ظالمانہ,0.30257502,0.29879817,0.28184962,0.22364572,0.24006905,0.24500965,0.21165435,0.21430077,0.19363426,0.20657547,0.19588526,0.20080554,0.19852561,0.22183813,0.2014202,0.24990873,0.26339188,0.24324107,0.20618325,0.20159152,0.20004374,0.19274664,0.20930612,0.20925713
big,broad,6.73,,45,بگ,براڈ,0.15254506,0.14029405,0.1836612,-0.02391704,0.04912153,0.06336951,0.000983335,0.06529015,0.094161175,0.04010765,0.029987702,0.09913643,0.07845519,0.05408811,0.028438091,0.20398763,0.23281083,0.21884048,0.074851185,0.08125821,0.045891583,0.06374318,0.061246138,0.07053454
strong,proud,3.17,,46,مضبوط,فخر,0.19311184,0.14265172,0.12936918,0.16367692,0.11991575,0.11231723,0.16860291,0.12924439,0.08650545,0.18619607,0.1631278,0.13462384,0.15860298,0.1444319,0.14523925,0.18398538,0.14628735,0.18186308,0.18800697,0.13418615,0.08857036,0.15963486,0.14252213,0.13652486
unnecessary,necessary,0.63,,47,غیرضروری,ضروری,0.4190746,0.37302542,0.3516665,0.32899722,0.30767095,0.29940715,0.3526099,0.2952106,0.27960938,0.32409164,0.28889245,0.2753779,0.31488407,0.2903708,0.24833347,0.39800122,0.34154838,0.31797418,0.32421523,0.28631335,0.29151455,0.3336249,0.2993744,0.2719156
bad,great,0.35,,50,برا,زبردست,0.29834482,0.28575027,0.26941332,0.23059465,0.21656191,0.21744226,0.17959484,0.19168591,0.14452867,0.16503617,0.15671717,0.17317002,0.16442132,0.13913836,0.13893622,0.2716005,0.2856318,0.2904201,0.19804604,0.1786205,0.16521871,0.15532811,0.15961263,0.13415843
difficult,simple,0.87,,51,مشکل,سادہ,0.44708353,0.45561153,0.43747792,0.37751076,0.3594857,0.3223163,0.32947728,0.31180567,0.311381,0.3225175,0.31497607,0.28848514,0.29131463,0.27984217,0.28726974,0.4245181,0.43197304,0.42123333,0.3442983,0.35134456,0.31202537,0.30692285,0.28782743,0.27757102
necessary,important,7.37,,52,ضروری,اہم,0.49251974,0.50290203,0.4957319,0.40917876,0.41804257,0.44441703,0.3861215,0.40216458,0.3971243,0.38229054,0.38419744,0.37187147,0.36279672,0.3676291,0.38106042,0.4547634,0.4733554,0.47857112,0.4011045,0.4005313,0.39901227,0.35797843,0.36711767,0.36198062
mad,glad,1.45,,54,پاگل,خوشی,0.30065006,0.25734544,0.2311393,0.24056421,0.18438205,0.1570246,0.1867317,0.15103485,0.15019043,0.17270625,0.14426623,0.13384825,0.18858226,0.1331902,0.13224044,0.29565343,0.25833917,0.22216783,0.20624514,0.16427422,0.13951316,0.14197043,0.13947895,0.11467419
honest,guilty,1.18,,55,ایماندار,مجرم,0.3201687,0.2709777,0.27960804,0.25778472,0.25098476,0.23980783,0.1622887,0.18758877,0.20447844,0.16049017,0.17051846,0.16870941,0.16335341,0.14951755,0.1411266,0.29661298,0.27544028,0.2868107,0.23920374,0.19643956,0.19135568,0.13386044,0.13893002,0.15547961
certain,sure,8.42,,58,کچھ,یقینا,0.40637353,0.3376896,0.3460234,0.32025146,0.28325176,0.24265306,0.30374724,0.2600481,0.21015768,0.26839432,0.2336001,0.2080394,0.2596961,0.2132733,0.19343662,0.37876076,0.33778647,0.2816211,0.32581246,0.2624812,0.21132621,0.2668718,0.22020859,0.19839433
essential,necessary,8.97,,59,ضروری,ضروری,1,1,1,0.99999994,1,0.99999994,0.99999994,1,0.99999994,0.99999994,1,1,1,0.99999994,1,1,1,1,1,1,1,1,1,1
different,normal,1.08,,60,مختلف,عمومی,0.3663022,0.29757756,0.28949025,0.3146625,0.27140632,0.229956,0.28814885,0.23775484,0.22562204,0.2529692,0.22762062,0.18640988,0.24290682,0.22125486,0.18454231,0.33274782,0.26949814,0.26221922,0.29315406,0.25363943,0.23409596,0.23641294,0.20605673,0.17394322
sly,clever,7.25,,61,سلی,ہوشیار,0.028787037,0.027005296,0.011300826,0.030790122,0.053537298,0.045266792,-0.023767391,-0.037432637,0.044135675,-0.05769304,-0.019674044,-0.034595355,0.016086956,-0.016722094,-0.027468078,0.050924763,-0.030128255,0.007258624,0.005544619,-0.011138834,0.008591607,-0.010375705,-0.04458035,-0.017158024
crucial,important,8.82,,62,اہم,اہم,1.0000001,1,1,1,1,1.0000001,1,1,0.99999994,1,1,1.0000001,1,1,1,1,1,1,1,1,1,1,1,1
harsh,cruel,8.18,,63,سخت,ظالمانہ,0.4483026,0.50489074,0.5025705,0.40643203,0.40125078,0.4166462,0.34624305,0.34518138,0.3639913,0.30343267,0.3201168,0.31955874,0.30765468,0.30664,0.30344662,0.41859046,0.47844476,0.44151792,0.3539568,0.37936354,0.37547338,0.27773649,0.279998,0.28051853
scarce,rare,9.17,,65,کم,نایاب,0.24995294,0.25607213,0.18261638,0.21713768,0.179064,0.1653828,0.2097462,0.15255442,0.13774401,0.21163233,0.15223515,0.1423662,0.169776,0.15837887,0.12912567,0.21568576,0.19331625,0.17878847,0.18853539,0.17610486,0.13651115,0.15553808,0.14364108,0.12763971
fragile,frigid,2.38,,67,خراب,ٹھنڈا,0.5236463,0.53187346,0.48733732,0.39052677,0.38995197,0.38735878,0.4193805,0.3736499,0.38753283,0.36811903,0.36182424,0.3868429,0.37159136,0.35823676,0.3680595,0.4485076,0.46376595,0.45778143,0.39271823,0.38618886,0.39029002,0.37333873,0.35696143,0.36652204
long,narrow,3.57,,68,طویل,تنگ,0.0672872,0.09160819,0.016647507,0.107790664,0.08448381,0.03939793,0.06649387,0.059627797,0.061741147,0.07707574,0.052215036,0.06396899,0.08657669,0.0766746,0.03319612,0.11893109,0.08906512,0.04875635,0.070522636,0.06744465,0.050238322,0.06837857,0.038120247,0.043333463
big,heavy,6.18,,69,بگ,بھاری,0.14593095,0.044072345,0.08758428,0.03875992,0.039705902,0.039757904,0.02573482,0.008482645,0.03874773,-0.017346913,-0.032404747,0.011229611,-0.048355497,-0.036633562,-0.016001126,0.12580933,0.03800114,0.098905,0.024102397,0.022540215,0.05650808,-0.059983402,-0.05376996,-0.025435004
bizarre,strange,9.37,,71,عجیب,عجیب,0.99999994,1,1,1,1,1,1,1,1,1,1.0000001,1,1,1,1,0.99999994,1,1,1,1,1,1,0.99999994,1
illegal,immoral,4.28,,72,غیرقانونی,غیراخلاقی,0.49383727,0.46582848,0.4204061,0.39982614,0.3692595,0.38140726,0.3481034,0.32689998,0.30098456,0.33014137,0.26503107,0.2711505,0.28457996,0.2560536,0.26372293,0.46253866,0.4064629,0.3952926,0.36123574,0.3467784,0.31855726,0.3294489,0.2930826,0.25987306
bad,guilty,4.2,,73,برا,مجرم,0.24781413,0.22099023,0.25501245,0.16642253,0.19530678,0.19872808,0.16983023,0.14371948,0.15673383,0.14406253,0.14500406,0.15228604,0.10339615,0.12830931,0.14463603,0.19310486,0.18723598,0.2177594,0.15092565,0.16086332,0.14975506,0.15537938,0.12857437,0.13124114
modern,ancient,0.73,,74,جدید,قدیم,0.5612251,0.5290082,0.5230955,0.47831267,0.47953212,0.45243526,0.45654115,0.43045807,0.4203201,0.42821932,0.41099024,0.38741577,0.39852092,0.36020795,0.37591258,0.5343579,0.5162718,0.50720155,0.45439774,0.4329983,0.42737484,0.40478444,0.38372415,0.36057457
new,ancient,0.23,,75,نئی,قدیم,0.20875284,0.16988158,0.16199778,0.07526653,0.08249006,0.076747425,0.049318846,0.053956974,0.052627716,0.037314046,0.04532601,0.044801388,0.04361747,0.040637594,0.025303464,0.14914382,0.13889202,0.15333012,0.059050158,0.038821947,0.03381194,0.02845768,0.054073386,0.035412684
dull,funny,0.55,,76,خالی,عجیب,0.16243684,0.12813278,0.10329237,0.12361513,0.093802795,0.08494467,0.09571234,0.09597896,0.1048389,0.077220894,0.07084714,0.07885503,0.14071892,0.091467015,0.08239975,0.08192688,0.1300638,0.106139526,0.13562231,0.10588176,0.0448272,0.11857017,0.11864866,0.111397386
happy,young,2,,77,خوش,نوجوان,0.10892607,0.09615371,0.124779284,0.14879201,0.112653956,0.100171514,0.13529187,0.11654099,0.09532982,0.12662967,0.10078704,0.09175292,0.1069723,0.08468292,0.09785172,0.12680343,0.12960427,0.12400801,0.11383814,0.12521724,0.08595431,0.10877834,0.086888745,0.09322031
great,awful,1.17,,79,زبردست,خوفناک,0.53560925,0.5266589,0.49314466,0.4712014,0.42940617,0.38987875,0.40043667,0.36214957,0.3498639,0.38453814,0.3443826,0.34201658,0.36948714,0.33699015,0.31812966,0.50019455,0.4937395,0.45638552,0.4135277,0.37971193,0.36814237,0.36925295,0.32474852,0.3164095
tiny,huge,0.6,,80,ٹنی,بھاری,0.2417552,0.23439717,0.17256418,0.1374543,0.17226759,0.13281304,0.14173107,0.12113563,0.11639936,0.09541693,0.06585132,0.09531199,0.06668813,0.13220786,0.0765652,0.23701794,0.2612578,0.27551478,0.12482683,0.13496038,0.06565644,0.06141092,0.050643705,0.038257107
polite,proper,7.63,,81,شائستہ,مناسب,0.31732675,0.2642302,0.29098022,0.17080094,0.16276741,0.18707708,0.18265189,0.1621287,0.18952343,0.15530069,0.17682327,0.17104545,0.15453056,0.15704189,0.13851407,0.25981355,0.29820094,0.1255281,0.23642007,0.13021985,0.19301602,0.1504726,0.13294747,0.16194175
modest,ashamed,2.65,,82,معمولی,شرمندہ,0.106463924,0.108047016,0.058723845,0.07969273,0.097056955,0.09547922,0.11661971,0.085445516,0.07981649,0.087214276,0.084433496,0.070652634,0.10140045,0.081282474,0.05599179,0.09113626,0.13150764,0.107521564,0.10364562,0.08574302,0.07027025,0.084096484,0.082919925,0.066077694
formal,proper,8.02,,88,رسمی,مناسب,0.40319335,0.4446253,0.42066053,0.31814104,0.33995727,0.32068288,0.28294885,0.2601603,0.28769064,0.25680396,0.25774404,0.26560354,0.23188147,0.25545588,0.2415805,0.36586896,0.36465824,0.35754234,0.2935303,0.28365174,0.29602146,0.2372417,0.24066254,0.25236255
dreary,dull,8.25,,89,خوفناک,خالی,0.12846792,0.08912497,0.03796394,0.08888994,0.052829582,0.046153832,0.058892347,0.05757623,0.046619177,0.08047557,0.07141885,0.090649284,0.078271896,0.061773006,0.053859733,0.054381073,0.04910078,0.04114961,0.08182861,0.07334329,0.06499415,0.084715605,0.06612407,0.044027578
delightful,cheerful,6.58,,90,خوشگوار,خوشگوار,1,1,1,1,1,1,1,1,0.99999994,1,1,0.99999994,1,1,0.99999994,1,1,1,1,0.99999994,1,1,1,0.99999994
unhappy,mad,5.95,,91,ناخوش,پاگل,0.23963818,0.16276442,0.12391016,0.19824709,0.17072815,0.13173155,0.17725216,0.12453161,0.11391124,0.13935706,0.098211095,0.09037274,0.1194004,0.106544465,0.08803133,0.24201736,0.18368821,0.11876525,0.18587501,0.12543026,0.11371237,0.127319,0.11166966,0.103780925
sad,terrible,5.4,,92,اداس,خوفناک,0.3344289,0.284667,0.33761367,0.2604472,0.24016033,0.2152634,0.18598305,0.2121275,0.21572618,0.16838677,0.16349348,0.15642868,0.17460658,0.13768217,0.12675484,0.31954736,0.3333991,0.2720353,0.2197661,0.20418447,0.21825993,0.16096887,0.12907696,0.11651492
sick,crazy,3.57,,93,بیمار,پاگل,0.46339694,0.4424865,0.43120527,0.3677496,0.35021058,0.29148528,0.2997326,0.28645107,0.2855192,0.29260093,0.25164428,0.2637092,0.25880826,0.257897,0.2624751,0.4236169,0.4131437,0.35428023,0.33106324,0.31151658,0.30453536,0.30264586,0.24812897,0.24524182
violent,angry,6.98,,94,پرتشدد,ناراض,0.19271167,0.17285867,0.16336179,0.17529044,0.11309064,0.13509926,0.12651409,0.15361518,0.08661881,0.10125459,0.12053955,0.09711153,0.09568311,0.10696404,0.08839126,0.17468953,0.19560145,0.12502068,0.13729843,0.09933925,0.11534479,0.119841054,0.09574891,0.08457972
laden,heavy,5.9,,95,لدا,بھاری,0.24215999,0.2596866,0.22290033,0.19414233,0.10999117,0.072682045,0.15963136,0.15176205,0.10732212,0.1779535,0.14518827,0.139665,0.17649427,0.13399944,0.118895575,0.2470077,0.18536492,0.13708079,0.15559044,0.12333954,0.07518796,0.13602172,0.11086362,0.13184635
dirty,cheap,1.6,,96,گندی,سستا,0.061330806,0.09341545,0.120263815,0.1181107,0.10250069,0.13322169,0.118455514,0.12244176,0.115304746,0.089924455,0.10596751,0.08592704,0.08939675,0.09901415,0.10765999,0.060406473,0.11724837,0.111628756,0.11824626,0.13023715,0.14206587,0.10096811,0.12713836,0.10234845
elastic,flexible,7.78,,97,لچکدار,لچکدار,1,0.99999994,1,1.0000001,0.99999994,1,1,1,1,1,0.99999994,0.99999994,1.0000001,1,1,1,1,1,1,1,1,1,1,1
hard,dense,5.9,,98,سخت,گھنے,0.114463635,0.13557117,0.12503245,0.067700796,0.08222041,0.038040865,0.0549392,0.10165188,0.07438868,0.07242246,0.06383486,0.051096004,0.09715236,0.04526541,0.040146038,0.12351065,0.11099969,0.062635794,0.09257558,0.06554486,0.035926305,0.10255889,0.047786236,0.03474553
bold,proud,3.97,,100,بولڈ,فخر,0.20408691,0.1717774,0.1116723,0.18888642,0.16374302,0.1447169,0.18399829,0.14531925,0.16661666,0.19541535,0.15225132,0.13708037,0.17339222,0.14127696,0.12974939,0.18205431,0.1358389,0.08426468,0.20149663,0.1665691,0.13835412,0.18163934,0.13231945,0.1237376
sly,strange,1.97,,101,سلی,عجیب,0.11974519,0.08730052,0.11129791,0.01298857,0.009379473,0.18655002,0.09222718,0.07243855,0.049035925,0.008173144,0.075641155,0.085321,0.019353623,0.018041758,0.03169237,0.07023446,0.06942278,0.16579866,0.000968492,0.080647446,0.11050627,0.015302324,0.05666718,0.067023195
strange,sly,2.07,,102,عجیب,سلی,0.11974519,0.08730052,0.11129791,0.01298857,0.009379473,0.18655002,0.09222718,0.07243855,0.049035925,0.008173144,0.075641155,0.085321,0.019353623,0.018041758,0.03169237,0.07023446,0.06942278,0.16579866,0.000968492,0.080647446,0.11050627,0.015302324,0.05666718,0.067023195
dumb,rare,0.48,,103,گونگا,نایاب,0.23708484,0.29941908,0.20384936,0.17272028,0.08272818,0.06740881,0.10038798,0.025714409,0.04341819,0.13486892,0.08585881,0.015346106,0.0687237,0.0778109,0.01703292,0.2522884,0.21994644,0.18485744,0.0699798,0.08593311,0.055978067,0.062078983,0.043832004,0.025761563
sly,tough,0.58,,104,سلی,مشکل,-0.03167271,-0.04872519,-0.076915376,-0.029592816,-0.08185971,0.01441585,-0.009911797,-0.018866984,-0.005573309,-0.034230158,0.007093335,-0.01855604,-0.00198014,-0.03179545,-0.029663278,-0.028006598,-0.07467057,-0.081783175,-0.043466028,-0.019024078,0.005010959,-0.04877279,0.010477908,0.008455985
terrific,mad,0.4,,105,خوفناک,پاگل,0.37878293,0.35176542,0.32910398,0.23730634,0.20422755,0.2398136,0.19266503,0.19261928,0.19762857,0.1331033,0.15293731,0.17014517,0.103148855,0.1332784,0.16896155,0.33675936,0.31773424,0.29547215,0.17459305,0.23154944,0.20913662,0.11339534,0.13429362,0.115977444
modest,flexible,0.98,,106,معمولی,لچکدار,0.34118497,0.24351054,0.25126386,0.23073699,0.22677922,0.20507833,0.1898185,0.17192313,0.20475985,0.2062097,0.19763063,0.17897555,0.20444092,0.14310291,0.2025788,0.3062628,0.24426936,0.20999566,0.22862983,0.18332855,0.19175465,0.1784371,0.16885555,0.1598697
huge,dumb,0.48,,108,بھاری,گونگا,0.02119664,0.08513637,-0.03502985,-0.008535991,0.022112593,0.015485434,0.04070947,-0.002447012,-0.09112054,0.01666683,-0.04563628,-0.04623292,0.005209506,-0.03874952,-0.045624953,0.033662304,0.020846393,0.037428103,0.038859658,-0.002051812,-0.015500236,-0.009629976,-0.06078016,-0.07883971
large,flexible,0.48,,109,بڑے,لچکدار,0.15458661,0.18273088,0.17948878,0.11413157,0.13106908,0.14856967,0.08024756,0.093231626,0.09315108,0.08834111,0.08181678,0.11200222,0.05577971,0.07090446,0.110894434,0.17929493,0.19289856,0.16559337,0.13560635,0.13351381,0.105825424,0.074516006,0.10218097,0.08607566
dirty,narrow,0.3,,110,گندی,تنگ,0.36261326,0.3766814,0.35608014,0.31666636,0.31650588,0.30146015,0.2939841,0.3249654,0.25030556,0.3236755,0.26179558,0.2392037,0.3076179,0.24551284,0.24823947,0.33196384,0.29172736,0.31416076,0.29302382,0.31218004,0.2841593,0.28946453,0.273912,0.22604677
wife,husband,2.3,,111,بیوی,شوہر,0.5857535,0.5518352,0.54665214,0.5654318,0.5245145,0.511272,0.5484445,0.51036644,0.49660295,0.5164551,0.4956818,0.4983236,0.50507915,0.48268047,0.4682829,0.55096644,0.5352387,0.5257049,0.5489352,0.5273936,0.503626,0.50277877,0.48218995,0.46853003
book,text,6.35,,112,کتاب,متن,0.21739282,0.31330234,0.36834124,0.22611468,0.21059278,0.2376598,0.18177222,0.18872628,0.1842629,0.1818527,0.17629811,0.187079,0.14349736,0.16483937,0.14877512,0.2529018,0.23757353,0.29964548,0.18685636,0.21594396,0.21112928,0.14716488,0.14453325,0.16139129
groom,bride,3.17,,113,دلہن,دلہن,1,1,1,1,1,1,0.99999994,1,1,0.99999994,1,0.99999994,1,0.99999994,1,1,1,1,1,1,1,1,1,1
